KEY,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,地图名字,描述
key,map1,map2,map3,map4,map5,map6,map7,map8,map9,map10,map11,map12,map13,map14,map15,map16,map17,map18,map19,map20,map21,map22,map23,map24,map25,map26,map27,map28,map29,map30,map31,map32,map33,map34,map35,map36,map37,map38,map39,map40,map41,map42,map43,map44,map45,map46,描述
A1,310-1417,436-1688,1167-2237,511-2267,291-1769,1672-3058,569-3147,877-2436,70-561,710-492,579-900,864-732,122-811,112-743,98-618,710-930,100-771,1759-1679,531-876,255-683,186-608,579-921,461-842,547-942,350-190,411-908,415-886,174-708,208-818,187-909,936-678,865-730,427-773,876-907,246-935,266-820,326-757,168-819,187-788,351-902,226-747,701-858,410-857,364-855,205-763,321-756,描述
A2,279-1214,630-1970,1393-2083,746-2124,310-1911,1328-3101,845-2980,642-2548,136-646,590-531,440-880,736-776,222-877,228-788,153-707,578-927,178-843,1771-1955,389-841,358-737,231-706,730-925,321-815,421-934,245-261,446-789,533-835,276-765,270-719,305-857,836-738,785-823,550-829,748-846,366-918,199-724,444-708,287-873,182-677,414-774,316-805,572-834,549-819,473-802,318-739,424-709,描述
A3,480-1132,800-2223,1585-1880,1055-2120,564-2018,983-3052,1072-2815,430-2708,238-715,453-536,322-821,600-797,347-883,358-793,285-714,445-902,290-818,1647-2234,305-760,475-776,308-796,898-921,201-762,293-899,281-368,491-681,665-786,388-810,376-632,423-800,703-761,649-851,697-849,606-796,442-835,274-639,569-686,403-828,190-568,519-747,427-835,436-823,683-766,600-770,426-767,553-682,描述
A4,693-1196,1166-2051,1580-1654,1355-2261,591-2222,754-2906,1298-2651,597-2852,362-751,316-536,222-736,467-785,472-839,480-764,423-717,329-856,365-730,1611-2601,455-715,593-790,429-761,875-813,292-685,201-821,331-476,584-720,779-731,501-847,515-622,542-756,573-752,506-840,779-766,460-760,544-782,402-634,702-676,511-770,236-489,634-787,546-807,414-727,759-668,726-758,536-809,683-678,描述
A5,873-1333,1568-2129,1355-1489,1624-2226,395-2402,993-2708,1520-2490,855-2866,485-767,191-576,150-632,363-729,591-790,599-734,544-771,243-785,469-678,1384-2460,613-697,703-767,557-749,810-717,396-631,179-718,331-593,588-846,846-640,627-849,686-662,658-721,450-722,363-797,671-675,321-718,666-775,526-685,825-657,633-733,366-489,756-801,659-751,281-723,654-627,850-732,665-824,811-659,描述
A6,1102-1318,1538-1819,1569-1316,1597-1987,318-2627,1300-2615,1708-2323,1188-2800,610-767,166-689,259-678,299-635,700-730,721-704,668-816,186-684,589-703,1125-2266,764-665,789-708,698-737,670-715,530-650,274-647,259-675,736-836,769-580,748-825,810-689,772-672,332-682,254-718,534-633,205-653,795-779,648-729,914-595,767-708,385-590,847-737,725-665,177-669,510-661,935-652,776-782,911-585,描述
A7,1115-1125,1685-1585,1789-1195,1539-1734,569-2616,1595-2540,1835-2141,1483-2681,734-740,281-755,385-712,333-540,763-641,827-654,813-793,230-588,697-752,903-2493,624-611,695-634,662-616,529-715,669-666,376-701,148-725,736-715,643-613,856-782,912-642,842-583,221-624,291-607,380-631,200-554,899-729,780-734,916-489,886-665,385-697,840-636,694-560,250-592,366-693,913-535,882-726,898-486,描述
A8,951-992,1270-1643,1639-1103,1272-1705,777-2449,1803-2362,1612-2010,1675-2486,843-682,422-788,512-742,457-530,689-580,769-574,905-696,366-583,803-741,714-2723,478-564,570-632,786-610,396-722,813-669,465-617,182-802,838-675,518-648,825-691,858-546,768-505,228-529,417-556,239-648,321-528,923-623,870-659,819-421,872-558,400-822,754-564,676-455,384-598,240-661,820-456,917-620,798-425,描述
A9,723-969,901-1774,1416-1165,985-1745,965-2287,1532-2261,1309-2065,1492-2288,940-621,597-779,639-721,579-567,570-604,713-491,877-586,495-588,818-644,402-2639,331-557,440-619,867-534,267-709,874-562,553-539,307-778,968-666,383-653,715-654,761-473,653-520,346-524,545-531,102-588,457-560,885-511,851-546,698-409,742-549,525-843,628-545,732-360,508-606,255-551,697-434,815-547,680-415,描述
A10,504-920,919-1491,1202-1271,695-1773,1188-2233,1198-2297,1005-2114,1298-2113,919-522,734-740,745-660,705-599,452-646,745-392,772-533,615-583,740-565,478-2349,180-538,317-591,860-423,181-619,905-451,639-450,438-756,950-557,260-618,597-647,570-437,542-558,477-550,683-517,111-463,586-596,791-440,732-503,579-439,619-576,655-843,502-573,823-285,643-639,384-504,588-493,743-489,572-445,描述
A11,0,0,1028-1428,453-1749,1167-2449,830-2341,700-2134,1520-1956,847-438,823-650,840-580,829-563,325-646,813-309,640-528,731-563,617-537,421-2089,317-475,246-502,850-317,164-503,749-455,770-452,572-785,913-450,175-540,471-626,430-458,419-588,618-557,812-496,211-395,713-603,664-440,604-503,462-481,494-623,790-833,369-586,881-191,776-650,528-498,507-574,743-384,468-486,描述
A12,0,0,1114-1632,591-1483,1109-2672,463-2291,434-2054,1581-1739,738-538,884-536,933-484,896-451,228-575,839-212,511-539,822-496,493-530,318-1819,462-412,236-388,837-203,283-452,608-474,870-371,704-801,826-373,132-443,350-591,310-515,286-594,748-530,921-436,356-402,837-584,551-493,479-515,354-531,374-684,839-726,254-555,815-96,892-617,666-486,412-634,626-382,357-532,描述
A13,0,0,880-1793,868-1343,1341-2736,333-2059,322-1824,1306-1765,620-579,919-431,818-484,871-334,186-473,748-174,378-532,871-396,354-532,682-1824,606-389,323-306,835-93,418-456,461-500,930-260,833-791,719-299,150-338,238-544,185-558,179-549,824-434,836-367,475-471,922-507,489-596,350-511,233-553,252-674,838-600,184-472,701-63,909-520,805-449,294-668,514-431,238-549,描述
A14,0,0,597-1701,1173-1295,1598-2634,670-1990,613-1768,1019-1862,481-590,897-286,707-458,763-262,210-370,644-214,244-501,832-288,229-507,1029-1854,761-406,440-354,724-73,554-453,310-522,890-147,900-710,602-342,214-244,232-453,91-499,168-441,845-324,705-358,600-536,856-420,385-663,222-483,126-498,197-578,839-481,191-363,592-94,821-442,884-356,175-645,415-486,132-508,描述
A15,0,0,654-1461,1471-1209,1818-2492,1033-2002,901-1754,755-1947,350-566,809-200,745-359,624-252,331-353,577-292,161-417,732-243,200-401,1381-1834,892-389,541-421,603-78,683-446,211-439,799-56,846-602,497-424,306-174,343-406,116-393,250-360,756-272,576-376,703-461,740-341,254-667,178-384,87-383,287-511,772-390,267-286,542-191,710-407,867-251,116-552,315-535,155-404,描述
A16,0,0,0,0,1823-2258,1348-1943,1187-1682,514-1873,228-522,706-267,727-266,503-296,450-377,521-383,165-302,624-282,268-320,1587-1640,775-304,659-458,599-187,802-403,133-328,684-101,909-496,445-520,420-120,460-410,207-318,363-319,627-289,450-401,798-386,613-311,139-611,267-315,116-267,420-498,635-393,385-265,533-298,590-434,782-161,154-443,199-559,148-301,描述
A17,0,0,0,0,1708-2055,1639-1812,1483-1587,682-1717,148-445,612-343,623-344,398-364,573-420,457-465,231-201,538-365,384-312,1336-1529,654-243,774-446,603-302,850-304,194-220,554-153,829-387,385-584,547-100,573-442,333-277,482-313,499-315,326-448,900-310,488-300,119-504,389-303,192-174,556-475,489-393,462-351,535-406,458-428,666-110,240-381,123-486,155-197,描述
A18,0,0,0,0,1482-1932,1874-1688,1762-1496,953-1641,213-351,492-386,547-311,290-432,698-461,361-518,336-139,442-427,509-346,987-1571,513-223,814-358,584-411,771-217,298-135,426-82,741-478,257-592,671-102,698-464,454-264,598-335,373-345,188-452,940-201,358-311,167-401,510-325,296-120,678-439,341-393,549-433,539-514,321-444,529-105,361-393,118-385,258-129,描述
A19,0,0,0,0,1201-1921,1613-1618,1911-1321,1246-1547,298-258,357-422,525-196,181-434,820-483,247-524,476-123,331-458,623-401,674-1538,381-243,768-270,465-447,638-204,410-64,299-110,644-549,135-592,777-150,829-461,577-264,715-372,243-380,148-364,871-155,237-312,283-374,648-343,429-91,786-388,203-393,675-455,522-623,196-448,455-191,482-400,149-284,380-100,描述
