KEY,第1个坐标,第2个坐标,第3个坐标,第4个坐标,第5个坐标
key,Pos1,Pos2,Pos3,Pos4,Pos5
A1,269-1353,261-1302,0,0,0
A2,347-1178,398-1159,0,0,0
A3,564-1148,618-1163,0,0,0
A4,762-1270,799-1302,0,0,0
A5,963-1372,1023-1372,0,0,0
A6,1137-1254,1137-1207,0,0,0
A7,1063-1077,1025-1045,0,0,0
A8,870-986,818-986,0,0,0
A9,632-976,581-965,0,0,0
A10,0,0,0,0,0
A11,475-1823,568-1890,0,0,0
A12,601-2113,670-2211,0,0,0
A13,938-2211,1038-2129,0,0,0
A14,1292-2126,1416-2162,0,0,0
A15,1623-2045,1568-1938,0,0,0
A16,1644-1766,1742-1696,0,0,0
A17,1548-1590,1414-1617,0,0,0
A18,1166-1704,1053-1751,0,0,0
A19,808-1711,840-1594,0,0,0
A20,0,0,0,0,0
A21,1259-2204,1319-2163,0,0,0
A22,1477-2022,1532-1963,0,0,0
A23,1629-1803,1641-1739,0,0,0
A24,1464-1622,1393-1589,0,0,0
A25,1408-1409,1477-1367,0,0,0
A26,1663-1287,1718-1257,0,0,0
A27,1794-1128,1731-1111,0,0,0
A28,1554-1139,1502-1153,0,0,0
A29,1336-1219,1285-1246,0,0,0
A30,1121-1331,1071-1371,0,0,0
A31,1037-1530,1073-1577,0,0,0
A32,1071-1739,993-1787,0,0,0
A33,770-1811,683-1783,0,0,0
A34,569-1619,590-1545,0,0,0
A35,0,0,0,0,0
A36,606-2244,665-2199,0,0,0
A37,859-2097,943-2097,0,0,0
A38,1151-2199,1228-2250,0,0,0
A39,1457-2284,1524-2278,0,0,0
A40,1656-2154,1633-2092,0,0,0
A41,1575-1909,1564-1839,0,0,0
A42,1452-1681,1383-1674,0,0,0
A43,1178-1756,1095-1770,0,0,0
A44,888-1766,816-1782,0,0,0
A45,602-1814,539-1807,0,0,0
A46,500-1664,542-1595,0,0,0
A47,678-1417,751-1388,0,0,0
A48,982-1343,1064-1334,0,0,0
A49,1290-1289,1371-1270,0,0,0
A50,0,0,0,0,0
A51,229-1843,212-1899,0,0,0
A52,399-1968,466-1997,0,0,0
A53,646-2085,650-2154,0,0,0
A54,527-2303,474-2344,0,0,0
A55,336-2480,296-2538,0,0,0
A56,410-2690,481-2683,0,0,0
A57,646-2568,700-2519,0,0,0
A58,842-2402,888-2356,0,0,0
A59,1031-2243,1092-2222,0,0,0
A60,1234-2329,1210-2385,0,0,0
A61,1140-2538,1121-2593,0,0,0
A62,1163-2762,1234-2779,0,0,0
A63,1448-2726,1509-2701,0,0,0
A64,1686-2606,1747-2572,0,0,0
A65,1860-2420,1851-2356,0,0,0
A66,1792-2193,1761-2139,0,0,0
A67,1649-1994,1579-1961,0,0,0
A68,1380-1943,1305-1947,0,0,0
A69,1098-1929,1023-1917,1031-1858,0,0
A70,1199-1764,1258-1742,0,0,0
A71,1431-1669,1501-1637,1501-1578,0,0
A72,1322-1549,1266-1532,0,0,0
A73,1096-1442,1043-1412,0,0,0
A74,865-1351,816-1319,0,0,0
A75,0,0,0,0,0
A76,1557-3101,1459-3123,0,0,0
A77,1192-3109,1101-3093,0,0,0
A78,874-3045,797-3010,0,0,0
A79,807-2805,886-2761,0,0,0
A80,1108-2665,1194-2653,0,0,0
A81,1414-2606,1494-2586,0,0,0
A82,1708-2517,1790-2469,0,0,0
A83,1732-2297,1643-2279,0,0,0
A84,1421-2291,1325-2297,0,0,0
A85,1071-2330,952-2344,0,0,0
A86,686-2359,585-2341,0,0,0
A87,371-2274,296-2227,296-2156,0,0
A88,440-2021,543-2009,0,0,0
A89,805-2015,897-2021,0,0,0
A90,1155-2009,1242-1994,0,0,0
A91,1470-1919,1552-1884,0,0,0
A92,1743-1800,1803-1771,0,0,0
A93,1803-1637,1723-1629,0,0,0
A94,1502-1637,1426-1640,0,0,0
A95,1210-1663,1132-1677,0,0,0
A96,897-1696,821-1696,0,0,0
A97,782-1578,855-1555,0,0,0
A98,1045-1481,1114-1456,0,0,0
A99,1305-1387,1357-1352,1328-1298,0,0
A100,0,0,0,0,0
A101,686-3115,752-3069,0,0,0
A102,944-2929,1000-2883,0,0,0
A103,1173-2762,1231-2718,0,0,0
A104,1383-2600,1438-2554,0,0,0
A105,1599-2441,1648-2402,0,0,0
A106,1783-2284,1827-2240,0,0,0
A107,1777-2065,1721-2039,0,0,0
A108,1497-2054,1425-2069,0,0,0
A109,1198-2118,1120-2137,0,0,0
A110,884-2150,815-2156,0,0,0
A111,597-2134,522-2114,0,0,0
A112,313-2001,292-1931,0,0,0
A113,428-1791,501-1783,0,0,0
A114,722-1795,795-1788,0,0,0
A115,1015-1754,1098-1745,0,0,0
A116,1303-1668,1383-1642,0,0,0
A117,1592-1569,1663-1545,0,0,0
A118,1840-1459,1892-1423,0,0,0
A119,1815-1292,1757-1270,0,0,0
A120,1543-1283,1470-1304,0,0,0
A121,1260-1342,1195-1339,0,0,0
A122,1015-1283,969-1254,0,0,0
A123,824-1145,782-1109,0,0,0
A124,662-989,639-944,639-944,0,0
A125,0,0,0,0,0
A126,784-2478,725-2508,0,0,0
A127,554-2611,502-2650,0,0,0
A128,434-2810,474-2852,0,0,0
A129,707-2890,774-2894,0,0,0
A130,998-2864,1073-2843,0,0,0
A131,1310-2771,1372-2741,0,0,0
A132,1602-2643,1665-2598,0,0,0
A133,1662-2412,1572-2370,0,0,0
A134,1401-2238,1344-2202,0,0,0
A135,1366-2048,1423-2015,,0,0
A136,1613-1920,1675-1877,1632-1828,0,0
A137,1478-1743,1401-1753,,0,0
A138,1200-1807,1126-1833,0,0,0
A139,924-1905,853-1935,0,0,0
A140,642-1978,569-1965,0,0,0
A141,538-1803,589-1765,0,0,0
A142,784-1703,858-1682,0,0,0
A143,1068-1627,1147-1605,0,0,0
A144,1337-1501,1362-1439,1289-1403,0,0
A145,1073-1377,1004-1384,928-1385,0,0
A146,735-1381,672-1377,606-1365,0,0
A147,548-1245,589-1199,0,0,0
A148,753-1111,806-1088,0,0,0
A149,998-1026,1061-1000,0,0,0
A150,0,0,0,0,0
A151,90-602,106-623,0,0,0
A152,170-680,200-699,0,0,0
A153,283-735,317-751,0,0,0
A154,405-771,437-776,0,0,0
A155,531-776,565-779,0,0,0
A156,653-767,688-761,0,0,0
A157,772-726,806-710,0,0,0
A158,878-668,904-650,0,0,0
A159,959-594,950-562,0,0,0
A160,882-500,864-480,0,0,0
A161,810-500,781-524,0,0,0
A162,697-566,665-579,0,0,0
A163,569-597,530-602,0,0,0
A164,429-594,395-586,0,0,0
A165,300-562,268-551,0,0,0
A166,193-500,170-481,0,0,0
A167,158-416,175-384,0,0,0
A168,258-331,285-299,0,0,0
A169,325-295,355-320,0,0,0
A170,437-349,470-355,0,0,0
A171,565-346,602-339,0,0,0
A172,686-303,710-286,0,0,0
A173,688-228,623-180,0,0,0
A174,582-167,552-162,0,0,0
A175,0,0,0,0,0
A176,670-520,636-530,0,0,0
A177,537-544,502-546,0,0,0
A178,402-543,365-543,0,0,0
A179,265-550,233-561,0,0,0
A180,159-617,157-652,0,0,0
A181,201-725,232-740,0,0,0
A182,334-772,370-783,0,0,0
A183,488-792,542-788,0,0,0
A184,648-772,687-762,0,0,0
A185,770-713,792-689,0,0,0
A186,851-615,867-586,0,0,0
A187,897-493,908-461,0,0,0
A188,911-372,905-336,0,0,0
A189,877-251,853-230,0,0,0
A190,766-227,741-245,0,0,0
A191,669-300,645-321,0,0,0
A192,569-368,536-381,0,0,0
A193,444-408,407-422,0,0,0
A194,271-406,306-416,0,0,0
A195,191-357,172-332,0,0,0
A196,186-238,196-207,0,0,0
A197,271-157,309-153,0,0,0
A198,362-230,377-260,0,0,0
A199,463-286,492-273,0,0,0
A200,0,0,0,0,0
A201,525-904,489-900,0,0,0
A202,385-871,358-855,0,0,0
A203,280-798,253-777,0,0,0
A204,186-701,169-675,0,0,0
A205,194-650,222-660,0,0,0
A206,301-701,332-710,0,0,0
A207,432-736,463-740,0,0,0
A208,563-742,596-738,0,0,0
A209,680-712,712-697,0,0,0
A210,784-637,808-615,0,0,0
A211,867-555,900-526,0,0,0
A212,883-492,858-495,0,0,0
A213,776-490,741-488,0,0,0
A214,704-420,718-397,0,0,0
A215,764-335,767-300,0,0,0
A216,676-287,655-315,0,0,0
A217,579-372,550-365,0,0,0
A218,542-277,542-245,0,0,0
A219,477-198,438-203,0,0,0
A220,358-245,332-269,0,0,0
A221,341-356,374-380,0,0,0
A222,446-448,438-484,0,0,0
A223,341-526,312-511,0,0,0
A224,228-448,200-431,0,0,0
A225,0,0,0,0,0
A226,813-751,782-763,0,0,0
A227,685-794,650-800,0,0,0
A228,513-803,550-808,0,0,0
A229,425-775,396-759,0,0,0
A230,333-702,321-679,0,0,0
A231,288-602,298-576,0,0,0
A232,376-532,409-532,0,0,0
A233,504-547,536-554,0,0,0
A234,626-589,658-599,0,0,0
A235,755-602,788-594,0,0,0
A236,859-532,874-503,0,0,0
A237,896-410,890-381,0,0,0
A238,843-305,817-287,0,0,0
A239,710-257,675-258,0,0,0
A240,577-270,546-279,0,0,0
A241,460-325,433-342,0,0,0
A242,356-393,331-415,0,0,0
A243,249-463,217-463,0,0,0
A244,156-407,156-375,0,0,0
A245,187-299,205-275,0,0,0
A246,266-217,294-198,0,0,0
A247,369-158,402-143,0,0,0
A248,488-109,518-98,0,0,0
A249,611-73,644-68,0,0,0
